编码,中文名称,拼音名称,区域级别,上级区域编码,短名字,后缀
1,中国,zhong guo,1,0,中国,
110000,北京市,bei jing shi,2,1,北京,市
120000,天津市,tian jin shi,2,1,天津,市
130000,河北省,he bei sheng,2,1,河北,省
140000,山西省,shan xi sheng,2,1,山西,省
150000,内蒙古自治区,nei meng gu zi zhi qu,2,1,内蒙古,自治区
210000,辽宁省,liao ning sheng,2,1,辽宁,省
220000,吉林省,ji lin sheng,2,1,吉林,省
230000,黑龙江省,hei long jiang sheng,2,1,黑龙江,省
310000,上海市,shang hai shi,2,1,上海,市
320000,江苏省,jiang su sheng,2,1,江苏,省
330000,浙江省,zhe jiang sheng,2,1,浙江,省
340000,安徽省,an hui sheng,2,1,安徽,省
350000,福建省,fu jian sheng,2,1,福建,省
360000,江西省,jiang xi sheng,2,1,江西,省
370000,山东省,shan dong sheng,2,1,山东,省
410000,河南省,he nan sheng,2,1,河南,省
420000,湖北省,hu bei sheng,2,1,湖北,省
430000,湖南省,hu nan sheng,2,1,湖南,省
440000,广东省,guang dong sheng,2,1,广东,省
450000,广西壮族自治区,guang xi zhuang zu zi zhi qu,2,1,广西,壮族自治区
460000,海南省,hai nan sheng,2,1,海南,省
500000,重庆市,chong qing shi,2,1,重庆,市
510000,四川省,si chuan sheng,2,1,四川,省
520000,贵州省,gui zhou sheng,2,1,贵州,省
530000,云南省,yun nan sheng,2,1,云南,省
540000,西藏自治区,xi zang zi zhi qu,2,1,西藏,自治区
610000,陕西省,shan xi sheng,2,1,陕西,省
620000,甘肃省,gan su sheng,2,1,甘肃,省
630000,青海省,qing hai sheng,2,1,青海,省
640000,宁夏回族自治区,ning xia hui zu zi zhi qu,2,1,宁夏,回族自治区
650000,新疆维吾尔自治区,xin jiang wei wu er zi zhi qu,2,1,新疆,维吾尔自治区
710000,台湾省,tai wan sheng,2,1,台湾,省
810000,香港特别行政区,xiang gang te bie xing zheng qu,2,1,香港,特别行政区
820000,澳门特别行政区,ao men te bie xing zheng qu,2,1,澳门,特别行政区
513200,阿坝藏族羌族自治州,a ba zang zu qiang zu zi zhi zhou,3,510000,阿坝,藏族羌族自治州
652900,阿克苏地区,a ke su di qu,3,650000,阿克苏,地区
659002,阿拉尔市,a la er shi,3,650000,阿拉尔,市
152900,阿拉善盟,a la shan meng,3,150000,阿拉善盟,
654300,阿勒泰地区,a le tai di qu,3,650000,阿勒泰,地区
542500,阿里地区,a li di qu,3,540000,阿里,地区
610900,安康市,an kang shi,3,610000,安康,市
340800,安庆市,an qing shi,3,340000,安庆,市
520400,安顺市,an shun shi,3,520000,安顺,市
410500,安阳市,an yang shi,3,410000,安阳,市
210300,鞍山市,an shan shi,3,210000,鞍山,市
